,person_id,family_name,first_name,name_lang,sex,birthyear,deathyear,place_of_birth,wikidata_id,created,created_by,last_modified,last_modified_by,note
0,AG2000,Zhang,San,en,male,1999.0,,Berlin,,2021-12-22,QG,,,skip
1,AG0001,鲁,迅,zh,male,1881,1936,SP0048,Q23114,2017-07-03,LH,2020-04-02,DP," Fields ""birthyear, deathyear, place_of_birth, created, created_by, last_modified, last_modified_by"" is/are overwritten.  By SemBot."
2,AG1001,,,,,,,,,,,2022-03-31,SemBot, Field `person_id` is updated. No match in Wikidata.  By SemBot.
3,AG1002,,,,,,,,,,,2022-03-31,SemBot, Field `person_id` is updated. No match in Wikidata.  By SemBot.
4,AG1003,,,,,,,,,,,2022-03-31,SemBot, Field `person_id` is updated. No match in Wikidata.  By SemBot.
5,AG1004,,,,,,,,,,,2022-03-31,SemBot, Field `person_id` is updated. No match in Wikidata.  By SemBot.
6,AG1005,,,,,,,,,,,2022-03-31,SemBot, Field `person_id` is updated. No match in Wikidata.  By SemBot.
7,AG1006,盖曼,尼尔,zh,male,1960,,Portchester,Q210059,2021-12-22,QG,2022-03-31,SemBot," Fields person_id, sex, birthyear, place_of_birth is/are updated.  By SemBot."
8,AG1007,Gaiman,Neil,en,,,,,Q210059,2021-12-22,QG,2022-03-31,SemBot," Fields person_id, sex, birthyear, place_of_birth in this table is/are updated.  By SemBot."
9,AG1008,,Sanmao,en,,0.0,1234.0,,,2021-12-22,QG,2022-03-31,SemBot, Field `person_id` is updated. No match in Wikidata.  By SemBot.
10,AG1009,Neruda,Jan,en,,,,,Q156321,2021-12-22,QG,2022-03-31,SemBot," Fields person_id, sex, birthyear, deathyear, place_of_birth in this table is/are updated.  By SemBot."
11,AG0210,Doyle,Arthur Conan,en,male,1859,1930,SP0123,Q35610,2018-02-05,OS,2020-04-02,DP," Fields ""birthyear, deathyear, place_of_birth, created, created_by, last_modified, last_modified_by"" is/are overwritten.  By SemBot."
